"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\Utilizador\pairly-landing\src\components\HorizontalGameSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 7, 80
"c:\Users\Utilizador\pairly-landing\src\components\LoadingStates.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 123, 0, 0, 6, 8, 137
"c:\Users\Utilizador\pairly-landing\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"c:\Users\Utilizador\pairly-landing\src\components\ProfileHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 241, 0, 0, 9, 21, 271
"c:\Users\Utilizador\pairly-landing\src\components\ResponsiveNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 331, 0, 0, 9, 29, 369
"c:\Users\Utilizador\pairly-landing\src\components\ScrollToTop.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 6, 42
"c:\Users\Utilizador\pairly-landing\src\components\SearchAndFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 256, 0, 0, 13, 21, 290
"c:\Users\Utilizador\pairly-landing\src\components\TestimonialCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\Utilizador\pairly-landing\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 6, 60
"c:\Users\Utilizador\pairly-landing\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 141, 0, 0, 3, 26, 170
"c:\Users\Utilizador\pairly-landing\src\hooks\index.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Utilizador\pairly-landing\src\hooks\useAuthForm.ts", "TypeScript", 0, 0, 0, 0, 0, 94, 0, 0, 0, 2, 15, 111
"c:\Users\Utilizador\pairly-landing\src\hooks\useLocalStorage.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 6, 35
"c:\Users\Utilizador\pairly-landing\src\hooks\useQueue.ts", "TypeScript", 0, 0, 0, 0, 0, 64, 0, 0, 0, 4, 11, 79
"c:\Users\Utilizador\pairly-landing\src\hooks\useRealTimeQueue.ts", "TypeScript", 0, 0, 0, 0, 0, 171, 0, 0, 0, 9, 31, 211
"c:\Users\Utilizador\pairly-landing\src\lib\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\Utilizador\pairly-landing\src\lib\constants.ts", "TypeScript", 0, 0, 0, 0, 0, 111, 0, 0, 0, 6, 9, 126
"c:\Users\Utilizador\pairly-landing\src\lib\games.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 1, 14
"c:\Users\Utilizador\pairly-landing\src\lib\index.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 4, 2, 43
"c:\Users\Utilizador\pairly-landing\src\lib\prisma.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 4, 12
"c:\Users\Utilizador\pairly-landing\src\lib\types.ts", "TypeScript", 0, 0, 0, 0, 0, 146, 0, 0, 0, 7, 14, 167
"c:\Users\Utilizador\pairly-landing\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 128, 0, 0, 0, 18, 27, 173
"c:\Users\Utilizador\pairly-landing\tsconfig.json", "JSON with Comments", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"Total", "-", 31, 348, 1137, 7912, 5, 13303, 7177, 117, 138, 5858, 3149, 39175
